EnvVar,ValueType,Description,DefaultValue,Pattern
PROTON_LOG,switch,Enables Proton/Wine full debug log output written to ~/steam-438100.log\n\nUseful for diagnosing Proton/VRChat launch failures. Creates large log files. Source: ProtonPlus,,
PROTON_LOG_DIR,string,Overrides the directory where Proton log files are written\n\ne.g. PROTON_LOG_DIR=/tmp — prevents log clutter in home directory,%HOME%,^/.+$
PROTON_ENABLE_NVAPI,switch,Enables NVIDIA NVAPI DLL emulation for DLSS and NVIDIA-specific features (e.g. Reflex).\n\nSource: ProtonPlus,,
PROTON_ENABLE_NGX_UPDATER,switch,Updates DLSS components for supported games via NVIDIA NGX\n\nSource: ProtonPlus,,
PROTON_DLSS_INDICATOR,switch,Shows an in-game DLSS status indicator\n\nSource: ProtonPlus,,
PROTON_NVIDIA_LIBS,switch,Enables NVIDIA-specific proprietary libraries inside Proton\n\nSource: ProtonPlus,,
PROTON_HIDE_NVIDIA_GPU,switch,Reports NVIDIA GPU as AMD for affected games (e.g. Reflex workaround)\n\nSource: ProtonPlus. Aligns with PROTON_HIDE_APU for AMD,,
PROTON_HIDE_APU,switch,Hides AMD APU from the game — use when the APU interferes with dGPU selection\n\nSource: ProtonPlus,,
PROTON_ENABLE_D9VK,switch,Enables D9VK (Vulkan-based Direct3D 9) renderer instead of DXVK\n\nExperimental; try if D3D9 games have issues under DXVK,,
PROTON_USE_WINED3D,switch,Forces OpenGL (WineD3D) fallback instead of DXVK for Direct3D 9-11\n\nSource: ProtonPlus; use when DXVK causes crashes,,
PROTON_USE_D7VK,switch,Enables D7VK for older Direct3D 7 and 8 era games\n\nSource: ProtonPlus; requires a compatible Proton version,,
PROTON_USE_NTSYNC,switch,Set to 0 to use FSync instead of NTSync for sync-sensitive games\n\nSource: ProtonPlus; NTSync is default in modern Proton,1,^[01]$
PROTON_FORCE_LARGE_ADDRESS_AWARE,switch,Forces 4GB address space support for 32-bit process (LAA flag)\n\nSource: ProtonPlus; helps prevent OOM crashes in memory-intensive content,,
PROTON_USE_WOW64,switch,Enables WoW64 support for 32-bit games on 64-bit Proton builds\n\nSource: ProtonPlus,,
PROTON_ENABLE_WAYLAND,switch,Runs the game on native Wayland instead of XWayland\n\nSource: ProtonPlus,,
PROTON_PREFER_SDL,switch,Workaround for controller detection issues — prefers SDL input over DirectInput\n\nSource: ProtonPlus,,
PROTON_NO_STEAMINPUT,switch,Disables Steam Input support entirely\n\nSource: ProtonPlus,,
PROTON_DISCORD_BRIDGE,switch,Enables Proton's Discord presence bridge for rich presence in native Linux Discord\n\nSource: ProtonPlus; requires Proton 11-1 or newer,,
PROTON_USE_OPTISCALER,switch,Enables Proton OptiScaler integration for DLSS/FSR/XeSS upscaling substitution\n\nSource: ProtonPlus; requires Proton 11-1 or newer,,
PROTON_FSR4_UPGRADE,switch,Upgrades supported FSR 3.1 games to FSR 4 via the selected custom Proton build\n\nSource: ProtonPlus; requires Proton-GE/Proton-CachyOS/Proton-EM and compatible AMD GPU,,
PROTON_FSR4_RDNA3_UPGRADE,switch,Legacy RDNA3-specific FSR 4 upgrade switch retained by older Proton-GE builds\n\nSource: ProtonPlus; prefer PROTON_FSR4_UPGRADE on newer builds,,
PROTON_MLFG_UPGRADE,switch,Requests ML frame generation (FSR 4 MLFG) in supported custom Proton builds\n\nSource: ProtonPlus; requires FSR 4.0.3+ and compatible AMD hardware,,
PROTON_FORCE_NVAPI,switch,Forces Proton's NVAPI path — AMD Reflex last-resort fallback that can break FSR 4\n\nSource: ProtonPlus; use only after safer Reflex presets fail,,
PROTON_XESS_UPGRADE,switch,Updates XeSS components in supported Intel-XeSS games\n\nSource: ProtonPlus,,
PROTON_DXVK_LOWLATENCY,switch,Enables Proton-CachyOS DXVK low-latency path for Direct3D 9-11\n\nSource: ProtonPlus; requires Proton-CachyOS build,,
PROTON_VKD3D_LOWLATENCY,switch,Enables VKD3D-Proton low latency for Direct3D 12 games with Reflex markers\n\nSource: ProtonPlus; requires Proton-CachyOS; incompatible with frame gen,,
